Matador Resources Quarterly Net Income (Millions of US $),Matador Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$229
2024-03-31,$194
2023-12-31,$255
2023-09-30,$264
2023-06-30,$165
2023-03-31,$163
2022-12-31,$254
2022-09-30,$338
2022-06-30,$416
2022-03-31,$207
2021-12-31,$215
2021-09-30,$204
2021-06-30,$106
2021-03-31,$61
2020-12-31,$-89
2020-09-30,$-276
2020-06-30,$-353
2020-03-31,$126
2019-12-31,$24
2019-09-30,$44
2019-06-30,$37
2019-03-31,$-17
2018-12-31,$137
2018-09-30,$18
2018-06-30,$60
2018-03-31,$60
2017-12-31,$38
2017-09-30,$15
2017-06-30,$29
2017-03-31,$44
2016-12-31,$104
2016-09-30,$12
2016-06-30,$-106
2016-03-31,$-108
2015-12-31,$-230
2015-09-30,$-242
2015-06-30,$-157
2015-03-31,$-50
2014-12-31,$47
2014-09-30,$30
2014-06-30,$18
2014-03-31,$16
2013-12-31,$15
2013-09-30,$20
2013-06-30,$25
2013-03-31,$-16
2012-12-31,$-21
2012-09-30,$-9
2012-06-30,$-7
2012-03-31,$4
2011-12-31,$3
2011-09-30,$6
2011-06-30,$7
2011-03-31,$-28
2010-12-31,
2009-12-31,
