Cushman & Wakefield Quarterly Net Income (Millions of US $),Cushman & Wakefield Quarterly Net Income (Millions of US $).1
2024-06-30,$14
2024-03-31,$-29
2023-12-31,$70
2023-09-30,$-34
2023-06-30,$5
2023-03-31,$-76
2022-12-31,$30
2022-09-30,$24
2022-06-30,$97
2022-03-31,$46
2021-12-31,$146
2021-09-30,$69
2021-06-30,$53
2021-03-31,$-17
2020-12-31,$-27
2020-09-30,$-37
2020-06-30,$-101
2020-03-31,$-55
2019-12-31,$3
2019-09-30,$12
2019-06-30,$6
2019-03-31,$-21
2018-12-31,$-18
2018-09-30,$-41
2018-06-30,$-34
2018-03-31,$-93
2017-12-31,
2017-09-30,$-79
2017-06-30,$-47
2016-12-31,
2015-12-31,
