Leggett & Platt Quarterly Net Income (Millions of US $),Leggett & Platt Quarterly Net Income (Millions of US $).1
2024-06-30,$-602
2024-03-31,$32
2023-12-31,$-297
2023-09-30,$53
2023-06-30,$54
2023-03-31,$54
2022-12-31,$53
2022-09-30,$71
2022-06-30,$95
2022-03-31,$90
2021-12-31,$106
2021-09-30,$97
2021-06-30,$112
2021-03-31,$88
2020-12-31,$108
2020-09-30,$107
2020-06-30,$-6
2020-03-31,$44
2019-12-31,$67
2019-09-30,$100
2019-06-30,$86
2019-03-31,$61
2018-12-31,$53
2018-09-30,$90
2018-06-30,$85
2018-03-31,$78
2017-12-31,$36
2017-09-30,$83
2017-06-30,$88
2017-03-31,$86
2016-12-31,$82
2016-09-30,$94
2016-06-30,$121
2016-03-31,$90
2015-12-31,$81
2015-09-30,$95
2015-06-30,$78
2015-03-31,$72
2014-12-31,$21
2014-09-30,$48
2014-06-30,$-24
2014-03-31,$53
2013-12-31,$6
2013-09-30,$71
2013-06-30,$71
2013-03-31,$49
2012-12-31,$74
2012-09-30,$66
2012-06-30,$65
2012-03-31,$44
2011-12-31,$9
2011-09-30,$45
2011-06-30,$55
2011-03-31,$45
2010-12-31,$31
2010-09-30,$47
2010-06-30,$53
2010-03-31,$45
2009-12-31,$35
2009-09-30,$54
2009-06-30,$19
2009-03-31,$3
