Virtus Investment Partners Quarterly Net Income (Millions of US $),Virtus Investment Partners Quarterly Net Income (Millions of US $).1
2024-06-30,$18
2024-03-31,$30
2023-12-31,$31
2023-09-30,$31
2023-06-30,$30
2023-03-31,$39
2022-12-31,$35
2022-09-30,$32
2022-06-30,$17
2022-03-31,$33
2021-12-31,$50
2021-09-30,$59
2021-06-30,$63
2021-03-31,$37
2020-12-31,$43
2020-09-30,$30
2020-06-30,$11
2020-03-31,$-4
2019-12-31,$21
2019-09-30,$22
2019-06-30,$25
2019-03-31,$20
2018-12-31,$0
2018-09-30,$25
2018-06-30,$21
2018-03-31,$21
2017-12-31,$3
2017-09-30,$17
2017-06-30,$-2
2017-03-31,$11
2016-12-31,$12
2016-09-30,$16
2016-06-30,$8
2016-03-31,$12
2015-12-31,$7
2015-09-30,$-1
2015-06-30,$10
2015-03-31,$19
2014-12-31,$19
2014-09-30,$37
2014-06-30,$20
2014-03-31,$22
2013-12-31,$25
2013-09-30,$21
2013-06-30,$15
2013-03-31,$14
2012-12-31,$12
2012-09-30,$12
2012-06-30,$8
2012-03-31,$5
2011-12-31,$110
2011-09-30,$-3
2011-06-30,$2
2011-03-31,$3
2010-12-31,$3
2010-09-30,$2
2010-06-30,$-0
2010-03-31,$0
2009-12-31,$1
2009-09-30,$-1
2009-06-30,$-3
2009-03-31,$-7
