Brighthouse Financial Quarterly Net Income (Millions of US $),Brighthouse Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$9
2024-03-31,$-519
2023-12-31,$-942
2023-09-30,$453
2023-06-30,$-200
2023-03-31,$-525
2022-12-31,$110
2022-09-30,$388
2022-06-30,"$1,719"
2022-03-31,"$1,558"
2021-12-31,"$1,793"
2021-09-30,$361
2021-06-30,$10
2021-03-31,$-610
2020-12-31,"$-1,045"
2020-09-30,"$-3,012"
2020-06-30,"$-1,998"
2020-03-31,"$4,950"
2019-12-31,"$-1,077"
2019-09-30,$676
2019-06-30,$377
2019-03-31,$-737
2018-12-31,"$1,442"
2018-09-30,$-271
2018-06-30,$-239
2018-03-31,$-67
2017-12-31,$668
2017-09-30,$-943
2017-06-30,$246
2017-03-31,$-349
2016-12-31,
2016-09-30,$-158
2016-06-30,"$-1,423"
2015-12-31,
