TriMas Quarterly Net Income (Millions of US $),TriMas Quarterly Net Income (Millions of US $).1
2024-06-30,$11
2024-03-31,$5
2023-12-31,$8
2023-09-30,$16
2023-06-30,$11
2023-03-31,$5
2022-12-31,$19
2022-09-30,$13
2022-06-30,$20
2022-03-31,$14
2021-12-31,$13
2021-09-30,$20
2021-06-30,$12
2021-03-31,$13
2020-12-31,$24
2020-09-30,$-101
2020-06-30,$-16
2020-03-31,$13
2019-12-31,$38
2019-09-30,$19
2019-06-30,$22
2019-03-31,$19
2018-12-31,$17
2018-09-30,$23
2018-06-30,$20
2018-03-31,$24
2017-12-31,$-4
2017-09-30,$13
2017-06-30,$15
2017-03-31,$7
2016-12-31,$-67
2016-09-30,$9
2016-06-30,$10
2016-03-31,$8
2015-12-31,$-61
2015-09-30,$12
2015-06-30,$2
2015-03-31,$14
2014-12-31,$1
2014-09-30,$22
2014-06-30,$26
2014-03-31,$19
2013-12-31,$7
2013-09-30,$29
2013-06-30,$27
2013-03-31,$13
2012-12-31,$-14
2012-09-30,$19
2012-06-30,$17
2012-03-31,$12
2011-12-31,$13
2011-09-30,$18
2011-06-30,$17
2011-03-31,$12
2010-12-31,$6
2010-09-30,$13
2010-06-30,$21
2010-03-31,$5
2009-12-31,$-11
2009-09-30,$6
2009-06-30,$9
2009-03-31,$-4
