DAQO New Energy Quarterly Net Income (Millions of US $),DAQO New Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$-120
2024-03-31,$15
2023-12-31,$53
2023-09-30,$-6
2023-06-30,$104
2023-03-31,$279
2022-12-31,$333
2022-09-30,$323
2022-06-30,$628
2022-03-31,$536
2021-12-31,$141
2021-09-30,$292
2021-06-30,$232
2021-03-31,$83
2020-12-31,$73
2020-09-30,$21
2020-06-30,$2
2020-03-31,$33
2019-12-31,$20
2019-09-30,$5
2019-06-30,$-2
2019-03-31,$7
2018-12-31,$11
2018-09-30,$-18
2018-06-30,$13
2018-03-31,$32
2017-12-31,$34
2017-09-30,$24
2017-06-30,$12
2017-03-31,$23
2016-12-31,$4
2016-09-30,$11
2016-06-30,$20
2016-03-31,$8
2015-12-31,$10
2015-09-30,$3
2015-06-30,$-1
2015-03-31,$1
2014-12-31,$4
2014-09-30,$6
2014-06-30,$5
2014-03-31,$3
2013-12-31,$-8
2013-09-30,$-10
2013-06-30,$-34
2013-03-31,$-19
2012-12-31,$-76
2012-09-30,$-16
2012-06-30,$-7
2012-03-31,$-14
2011-12-31,$-39
2011-09-30,$12
2011-06-30,$26
2011-03-31,$35
2010-12-31,
2010-09-30,$18
