Worthington Enterprises Quarterly Net Income (Millions of US $),Worthington Enterprises Quarterly Net Income (Millions of US $).1
2024-08-31,$24
2024-05-31,$-32
2024-02-29,$22
2023-11-30,$24
2023-08-31,$96
2023-05-31,$130
2023-02-28,$46
2022-11-30,$16
2022-08-31,$64
2022-05-31,$80
2022-02-28,$56
2021-11-30,$110
2021-08-31,$132
2021-05-31,$114
2021-02-28,$68
2020-11-30,$-74
2020-08-31,$617
2020-05-31,$16
2020-02-29,$15
2019-11-30,$52
2019-08-31,$-5
2019-05-31,$38
2019-02-28,$27
2018-11-30,$34
2018-08-31,$55
2018-05-31,$31
2018-02-28,$79
2017-11-30,$39
2017-08-31,$46
2017-05-31,$56
2017-02-28,$36
2016-11-30,$47
2016-08-31,$66
2016-05-31,$59
2016-02-29,$30
2015-11-30,$23
2015-08-31,$32
2015-05-31,$29
2015-02-28,$-26
2014-11-30,$29
2014-08-31,$44
2014-05-31,$33
2014-02-28,$41
2013-11-30,$23
2013-08-31,$55
2013-05-31,$34
2013-02-28,$37
2012-11-30,$32
2012-08-31,$34
2012-05-31,$52
2012-02-29,$26
2011-11-30,$12
2011-08-31,$26
2011-05-31,$52
2011-02-28,$26
2010-11-30,$14
2010-08-31,$22
2010-05-31,$33
2010-02-28,$-18
2009-11-30,$23
2009-08-31,$7
2009-05-31,$-14
2009-02-28,$2
