Kennedy-Wilson Holdings Quarterly Net Income (Millions of US $),Kennedy-Wilson Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-59
2024-03-31,$27
2023-12-31,$-248
2023-09-30,$-92
2023-06-30,$39
2023-03-31,$-41
2022-12-31,$23
2022-09-30,$16
2022-06-30,$-9
2022-03-31,$35
2021-12-31,$38
2021-09-30,$66
2021-06-30,$215
2021-03-31,$-6
2020-12-31,$170
2020-09-30,$-25
2020-06-30,$-42
2020-03-31,$-10
2019-12-31,$158
2019-09-30,$21
2019-06-30,$51
2019-03-31,$-5
2018-12-31,$31
2018-09-30,$12
2018-06-30,$110
2018-03-31,$-3
2017-12-31,$100
2017-09-30,$-9
2017-06-30,$9
2017-03-31,$1
2016-12-31,$14
2016-09-30,$-3
2016-06-30,$-2
2016-03-31,$-7
2015-12-31,$29
2015-09-30,$15
2015-06-30,$31
2015-03-31,$-4
2014-12-31,$-29
2014-09-30,$-2
2014-06-30,$35
2014-03-31,$10
2013-12-31,$-4
2013-09-30,$-4
2013-06-30,$-3
2013-03-31,$-4
2012-12-31,$9
2012-09-30,$-6
2012-06-30,$-3
2012-03-31,$-3
2011-12-31,$8
2011-09-30,$-7
2011-06-30,$-2
2011-03-31,$-1
2010-12-31,$0
2010-09-30,$-7
2010-06-30,$8
2010-03-31,$-3
2009-12-31,$-11
2009-09-30,$0
2009-06-30,$-3
2009-03-31,$-1
