Fomento Economico Mexicano S.A.B De C.V Quarterly Net Income (Millions of US $),Fomento Economico Mexicano S.A.B De C.V Quarterly Net Income (Millions of US $).1
2024-06-30,$730
2023-12-31,$389
2023-09-30,$571
2023-06-30,$349
2023-03-31,"$2,577"
2022-12-31,$272
2022-09-30,$531
2022-06-30,$231
2022-03-31,$195
2021-12-31,$304
2021-09-30,$706
2021-06-30,$154
2021-03-31,$225
2020-12-31,$150
2020-09-30,$146
2020-06-30,$-502
2020-03-31,$393
2019-12-31,$312
2019-09-30,$375
2019-06-30,$295
2019-03-31,$116
2018-12-31,$337
2018-09-30,$248
2018-06-30,$557
2018-03-31,$79
2017-12-31,$-240
2017-09-30,"$1,824"
2017-06-30,$251
2017-03-31,$326
2016-12-31,$232
2016-09-30,$357
2016-06-30,$269
2016-03-31,$166
2015-12-31,$263
2015-09-30,$303
2015-06-30,$253
2015-03-31,$210
2014-12-31,$486
2014-09-30,$354
2014-06-30,$233
2014-03-31,$288
2013-12-31,$376
2013-09-30,$346
2013-06-30,$284
2013-03-31,$213
2012-12-31,$753
2012-09-30,$364
2012-06-30,$289
2012-03-31,$180
2011-12-31,$415
2011-09-30,$321
2011-06-30,$235
2011-03-31,$289
2010-12-31,$405
2010-09-30,$408
2010-06-30,"$2,291"
2010-03-31,$254
2009-12-31,$311
2009-09-30,$282
2009-06-30,$283
2009-03-31,$107
