SkyWest Quarterly Net Income (Millions of US $),SkyWest Quarterly Net Income (Millions of US $).1
2024-06-30,$76
2024-03-31,$60
2023-12-31,$18
2023-09-30,$23
2023-06-30,$15
2023-03-31,$-22
2022-12-31,$-47
2022-09-30,$48
2022-06-30,$54
2022-03-31,$18
2021-12-31,$4
2021-09-30,$10
2021-06-30,$62
2021-03-31,$36
2020-12-31,$-46
2020-09-30,$34
2020-06-30,$-26
2020-03-31,$30
2019-12-31,$73
2019-09-30,$91
2019-06-30,$88
2019-03-31,$88
2018-12-31,$67
2018-09-30,$83
2018-06-30,$76
2018-03-31,$54
2017-12-31,$290
2017-09-30,$54
2017-06-30,$50
2017-03-31,$35
2016-12-31,$-270
2016-09-30,$41
2016-06-30,$40
2016-03-31,$27
2015-12-31,$40
2015-09-30,$36
2015-06-30,$31
2015-03-31,$10
2014-12-31,$-28
2014-09-30,$41
2014-06-30,$-15
2014-03-31,$-23
2013-12-31,$9
2013-09-30,$26
2013-06-30,$21
2013-03-31,$3
2012-12-31,$14
2012-09-30,$21
2012-06-30,$17
2012-03-31,$-1
2011-12-31,$-18
2011-09-30,$0
2011-06-30,$2
2011-03-31,$-11
2010-12-31,$37
2010-09-30,$25
2010-06-30,$19
2010-03-31,$15
2009-12-31,$20
2009-09-30,$29
2009-06-30,$26
2009-03-31,$9
