Amkor Technology Quarterly Net Income (Millions of US $),Amkor Technology Quarterly Net Income (Millions of US $).1
2024-06-30,$67
2024-03-31,$59
2023-12-31,$118
2023-09-30,$133
2023-06-30,$64
2023-03-31,$45
2022-12-31,$164
2022-09-30,$306
2022-06-30,$125
2022-03-31,$171
2021-12-31,$217
2021-09-30,$181
2021-06-30,$126
2021-03-31,$120
2020-12-31,$127
2020-09-30,$92
2020-06-30,$55
2020-03-31,$64
2019-12-31,$99
2019-09-30,$54
2019-06-30,$-9
2019-03-31,$-23
2018-12-31,$28
2018-09-30,$57
2018-06-30,$33
2018-03-31,$10
2017-12-31,$100
2017-09-30,$59
2017-06-30,$119
2017-03-31,$-15
2016-12-31,$112
2016-09-30,$60
2016-06-30,$5
2016-03-31,$-1
2015-12-31,$-13
2015-09-30,$28
2015-06-30,$7
2015-03-31,$29
2014-12-31,$12
2014-09-30,$47
2014-06-30,$49
2014-03-31,$21
2013-12-31,$41
2013-09-30,$25
2013-06-30,$30
2013-03-31,$13
2012-12-31,$7
2012-09-30,$22
2012-06-30,$1
2012-03-31,$12
2011-12-31,$25
2011-09-30,$27
2011-06-30,$14
2011-03-31,$25
2010-12-31,$50
2010-09-30,$78
2010-06-30,$59
2010-03-31,$44
2009-12-31,$88
2009-09-30,$81
2009-06-30,$9
2009-03-31,$-22
