BlackLine Quarterly Net Income (Millions of US $),BlackLine Quarterly Net Income (Millions of US $).1
2024-06-30,$77
2024-03-31,$11
2023-12-31,$22
2023-09-30,$12
2023-06-30,$31
2023-03-31,$-12
2022-12-31,$11
2022-09-30,$-20
2022-06-30,$-11
2022-03-31,$-10
2021-12-31,$-37
2021-09-30,$-14
2021-06-30,$-25
2021-03-31,$-39
2020-12-31,$-17
2020-09-30,$-9
2020-06-30,$-8
2020-03-31,$-13
2019-12-31,$-9
2019-09-30,$-9
2019-06-30,$-5
2019-03-31,$-9
2018-12-31,$-9
2018-09-30,$-4
2018-06-30,$-8
2018-03-31,$-7
2017-12-31,$-5
2017-09-30,$-12
2017-06-30,$-9
2017-03-31,$-8
2016-12-31,$-3
2016-09-30,$-7
2016-06-30,$-8
2016-03-31,$-9
2015-12-31,
2015-09-30,$-7
2014-12-31,
