FTI Consulting Quarterly Net Income (Millions of US $),FTI Consulting Quarterly Net Income (Millions of US $).1
2024-06-30,$84
2024-03-31,$80
2023-12-31,$82
2023-09-30,$83
2023-06-30,$62
2023-03-31,$48
2022-12-31,$47
2022-09-30,$77
2022-06-30,$51
2022-03-31,$59
2021-12-31,$38
2021-09-30,$69
2021-06-30,$63
2021-03-31,$64
2020-12-31,$56
2020-09-30,$50
2020-06-30,$48
2020-03-31,$57
2019-12-31,$29
2019-09-30,$60
2019-06-30,$65
2019-03-31,$63
2018-12-31,$24
2018-09-30,$44
2018-06-30,$44
2018-03-31,$39
2017-12-31,$67
2017-09-30,$32
2017-06-30,$-5
2017-03-31,$14
2016-12-31,$7
2016-09-30,$22
2016-06-30,$27
2016-03-31,$30
2015-12-31,$10
2015-09-30,$10
2015-06-30,$22
2015-03-31,$24
2014-12-31,$1
2014-09-30,$23
2014-06-30,$17
2014-03-31,$18
2013-12-31,$-7
2013-09-30,$-51
2013-06-30,$23
2013-03-31,$24
2012-12-31,$-86
2012-09-30,$23
2012-06-30,$8
2012-03-31,$18
2011-12-31,$40
2011-09-30,$29
2011-06-30,$15
2011-03-31,$19
2010-12-31,$7
2010-09-30,$20
2010-06-30,$25
2010-03-31,$14
2009-12-31,$33
2009-09-30,$38
2009-06-30,$37
2009-03-31,$32
