United Natural Foods Quarterly Net Income (Millions of US $),United Natural Foods Quarterly Net Income (Millions of US $).1
2024-07-31,$-37
2024-04-30,$-21
2024-01-31,$-15
2023-10-31,$-39
2023-07-31,$-68
2023-04-30,$7
2023-01-31,$19
2022-10-31,$66
2022-07-31,$39
2022-04-30,$67
2022-01-31,$66
2021-10-31,$76
2021-07-31,$43
2021-04-30,$48
2021-01-31,$59
2020-10-31,$-1
2020-07-31,$53
2020-04-30,$88
2020-01-31,$-31
2019-10-31,$-384
2019-07-31,$19
2019-04-30,$57
2019-01-31,$-342
2018-10-31,$-19
2018-07-31,$30
2018-04-30,$52
2018-01-31,$50
2017-10-31,$31
2017-07-31,$39
2017-04-30,$37
2017-01-31,$25
2016-10-31,$29
2016-07-31,$35
2016-04-30,$38
2016-01-31,$23
2015-10-31,$30
2015-07-31,$36
2015-04-30,$42
2015-01-31,$28
2014-10-31,$33
2014-07-31,$33
2014-04-30,$36
2014-01-31,$28
2013-10-31,$28
2013-07-31,$32
2013-04-30,$32
2013-01-31,$23
2012-10-31,$22
2012-07-31,$25
2012-04-30,$29
2012-01-31,$22
2011-10-31,$15
2011-07-31,$17
2011-04-30,$23
2011-01-31,$19
2010-10-31,$17
2010-07-31,$18
2010-04-30,$19
2010-01-31,$16
2009-10-31,$16
2009-07-31,$16
2009-04-30,$17
2009-01-31,$14
