Cinemark Holdings Inc Quarterly Net Income (Millions of US $),Cinemark Holdings Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$46
2024-03-31,$24
2023-12-31,$-18
2023-09-30,$90
2023-06-30,$119
2023-03-31,$-3
2022-12-31,$-99
2022-09-30,$-25
2022-06-30,$-73
2022-03-31,$-74
2021-12-31,$6
2021-09-30,$-78
2021-06-30,$-142
2021-03-31,$-208
2020-12-31,$-239
2020-09-30,$-148
2020-06-30,$-170
2020-03-31,$-60
2019-12-31,$26
2019-09-30,$31
2019-06-30,$101
2019-03-31,$33
2018-12-31,$19
2018-09-30,$50
2018-06-30,$82
2018-03-31,$62
2017-12-31,$95
2017-09-30,$38
2017-06-30,$51
2017-03-31,$79
2016-12-31,$76
2016-09-30,$66
2016-06-30,$54
2016-03-31,$59
2015-12-31,$57
2015-09-30,$46
2015-06-30,$70
2015-03-31,$43
2014-12-31,$47
2014-09-30,$38
2014-06-30,$72
2014-03-31,$35
2013-12-31,$15
2013-09-30,$79
2013-06-30,$20
2013-03-31,$33
2012-12-31,$27
2012-09-30,$47
2012-06-30,$51
2012-03-31,$42
2011-12-31,$18
2011-09-30,$46
2011-06-30,$40
2011-03-31,$25
2010-12-31,$37
2010-09-30,$33
2010-06-30,$40
2010-03-31,$35
2009-12-31,$40
2009-09-30,$21
2009-06-30,$19
2009-03-31,$18
