Rayonier Quarterly Net Income (Millions of US $),Rayonier Quarterly Net Income (Millions of US $).1
2024-06-30,$2
2024-03-31,$1
2023-12-31,$127
2023-09-30,$19
2023-06-30,$19
2023-03-31,$8
2022-12-31,$33
2022-09-30,$21
2022-06-30,$24
2022-03-31,$29
2021-12-31,$9
2021-09-30,$76
2021-06-30,$57
2021-03-31,$11
2020-12-31,$10
2020-09-30,$-1
2020-06-30,$2
2020-03-31,$26
2019-12-31,$16
2019-09-30,$-0
2019-06-30,$19
2019-03-31,$25
2018-12-31,$2
2018-09-30,$23
2018-06-30,$36
2018-03-31,$41
2017-12-31,$64
2017-09-30,$25
2017-06-30,$26
2017-03-31,$34
2016-12-31,$48
2016-09-30,$39
2016-06-30,$110
2016-03-31,$14
2015-12-31,$10
2015-09-30,$20
2015-06-30,$-2
2015-03-31,$18
2014-12-31,$9
2014-09-30,$33
2014-06-30,$16
2014-03-31,$41
2013-12-31,$80
2013-09-30,$57
2013-06-30,$87
2013-03-31,$148
2012-12-31,$76
2012-09-30,$81
2012-06-30,$69
2012-03-31,$53
2011-12-31,$56
2011-09-30,$105
2011-06-30,$56
2011-03-31,$58
2010-12-31,$59
2010-09-30,$63
2010-06-30,$39
2010-03-31,$57
2009-12-31,$98
2009-09-30,$81
2009-06-30,$108
2009-03-31,$26
