Suncor Energy Quarterly Net Income (Millions of US $),Suncor Energy Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,146"
2024-03-31,"$1,193"
2023-12-31,"$2,080"
2023-09-30,"$1,151"
2023-06-30,"$1,398"
2023-03-31,"$1,517"
2022-12-31,"$1,991"
2022-09-30,$-467
2022-06-30,"$3,129"
2022-03-31,"$2,329"
2021-12-31,"$1,235"
2021-09-30,$697
2021-06-30,$707
2021-03-31,$648
2020-12-31,$-144
2020-09-30,$-9
2020-06-30,$-443
2020-03-31,"$-2,629"
2019-12-31,"$-1,746"
2019-09-30,$784
2019-06-30,"$2,040"
2019-03-31,"$1,106"
2018-12-31,"$1,163"
2018-09-30,
2018-06-30,$753
2018-03-31,$624
2017-12-31,"$1,065"
2017-09-30,"$1,028"
2017-06-30,$324
2017-03-31,"$1,022"
2016-12-31,$418
2016-09-30,$301
2016-06-30,$-570
2016-03-31,$179
2015-12-31,"$-1,504"
2015-09-30,$-287
2015-06-30,$593
2015-03-31,$-282
2014-12-31,$67
2014-09-30,$819
2014-06-30,$195
2014-03-31,"$1,345"
2013-12-31,$398
2013-09-30,"$1,622"
2013-06-30,$661
2013-03-31,"$1,081"
2012-12-31,$-564
2012-09-30,"$1,554"
2012-06-30,$327
2012-03-31,"$1,483"
2011-12-31,"$1,427"
2011-09-30,"$1,272"
2011-06-30,$593
2011-03-31,"$1,084"
2010-12-31,"$1,357"
2010-09-30,"$1,013"
2010-06-30,$464
2010-03-31,$706
2009-12-31,$428
2009-09-30,$873
2009-06-30,$-46
2009-03-31,$-153
