United Community Banks Quarterly Net Income (Millions of US $),United Community Banks Quarterly Net Income (Millions of US $).1
2024-06-30,$65
2024-03-31,$61
2023-12-31,$13
2023-09-30,$47
2023-06-30,$61
2023-03-31,$60
2022-12-31,$79
2022-09-30,$79
2022-06-30,$65
2022-03-31,$46
2021-12-31,$50
2021-09-30,$72
2021-06-30,$68
2021-03-31,$72
2020-12-31,$57
2020-09-30,$45
2020-06-30,$25
2020-03-31,$32
2019-12-31,$49
2019-09-30,$48
2019-06-30,$44
2019-03-31,$44
2018-12-31,$45
2018-09-30,$43
2018-06-30,$39
2018-03-31,$37
2017-12-31,$-12
2017-09-30,$28
2017-06-30,$28
2017-03-31,$24
2016-12-31,$27
2016-09-30,$26
2016-06-30,$25
2016-03-31,$22
2015-12-31,$18
2015-09-30,$18
2015-06-30,$18
2015-03-31,$18
2014-12-31,$18
2014-09-30,$18
2014-06-30,$16
2014-03-31,$15
2013-12-31,$13
2013-09-30,$12
2013-06-30,$227
2013-03-31,$9
2012-12-31,$2
2012-09-30,$8
2012-06-30,$3
2012-03-31,$8
2011-12-31,$7
2011-09-30,$-14
2011-06-30,$9
2011-03-31,$-240
2010-12-31,$-176
2010-09-30,$-239
2010-06-30,$-62
2010-03-31,$-36
2009-12-31,$-42
2009-09-30,$-71
2009-06-30,$-19
2009-03-31,$-106
