MR COOPER GROUP INC Quarterly Net Income (Millions of US $),MR COOPER GROUP INC Quarterly Net Income (Millions of US $).1
2024-06-30,$204
2024-03-31,$181
2023-12-31,$46
2023-09-30,$275
2023-06-30,$142
2023-03-31,$37
2022-12-31,$1
2022-09-30,$113
2022-06-30,$151
2022-03-31,$658
2021-12-31,$157
2021-09-30,$270
2021-06-30,$435
2021-03-31,$556
2020-12-31,$191
2020-09-30,$207
2020-06-30,$72
2020-03-31,$-168
2019-12-31,$462
2019-09-30,$83
2019-06-30,$-87
2019-03-31,$-186
2018-12-31,$-135
2018-09-30,$947
2018-06-30,$58
2018-03-31,$160
2017-12-31,$36
2017-09-30,$7
2017-06-30,$-26
2017-03-31,$13
2016-12-31,$-29
2016-09-30,$-21
2016-06-30,$18
2016-03-31,$51
2015-12-31,$6
2015-09-30,$-8
2015-06-30,$-78
2015-03-31,$1
2014-12-31,$-10
2014-09-30,$-1
2014-06-30,$17
2014-03-31,$-13
2013-12-31,
2012-12-31,
