Comfort Systems USA Quarterly Net Income (Millions of US $),Comfort Systems USA Quarterly Net Income (Millions of US $).1
2024-06-30,$134
2024-03-31,$96
2023-12-31,$92
2023-09-30,$105
2023-06-30,$69
2023-03-31,$57
2022-12-31,$55
2022-09-30,$62
2022-06-30,$42
2022-03-31,$87
2021-12-31,$38
2021-09-30,$46
2021-06-30,$33
2021-03-31,$26
2020-12-31,$43
2020-09-30,$50
2020-06-30,$39
2020-03-31,$18
2019-12-31,$34
2019-09-30,$36
2019-06-30,$24
2019-03-31,$20
2018-12-31,$25
2018-09-30,$39
2018-06-30,$33
2018-03-31,$17
2017-12-31,$8
2017-09-30,$22
2017-06-30,$18
2017-03-31,$7
2016-12-31,$17
2016-09-30,$20
2016-06-30,$18
2016-03-31,$10
2015-12-31,$13
2015-09-30,$18
2015-06-30,$13
2015-03-31,$5
2014-12-31,$11
2014-09-30,$8
2014-06-30,$4
2014-03-31,$0
2013-12-31,$6
2013-09-30,$11
2013-06-30,$8
2013-03-31,$3
2012-12-31,$4
2012-09-30,$6
2012-06-30,$4
2012-03-31,$-1
2011-12-31,$2
2011-09-30,$-37
2011-06-30,$3
2011-03-31,$-5
2010-12-31,$6
2010-09-30,$5
2010-06-30,$2
2010-03-31,$2
2009-12-31,$8
2009-09-30,$10
2009-06-30,$10
2009-03-31,$7
