Stellar Bancorp Quarterly Net Income (Millions of US $),Stellar Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$30
2024-03-31,$26
2023-12-31,$27
2023-09-30,$31
2023-06-30,$35
2023-03-31,$37
2022-12-31,$2
2022-09-30,$14
2022-06-30,$16
2022-03-31,$19
2021-12-31,$45
2021-09-30,$14
2021-06-30,$12
2021-03-31,$10
2020-12-31,$29
2020-09-30,$6
2020-06-30,$2
2020-03-31,$8
2019-12-31,$13
2019-09-30,$13
2019-06-30,$14
2019-03-31,$10
2018-12-31,$14
2018-09-30,$13
2018-06-30,$11
2018-03-31,$9
2017-12-31,$2
2017-09-30,$10
2017-06-30,$9
2017-03-31,$7
2016-12-31,
2016-09-30,$7
2016-06-30,$6
2015-12-31,
