FirstEnergy Quarterly Net Income (Millions of US $),FirstEnergy Quarterly Net Income (Millions of US $).1
2024-06-30,$45
2024-03-31,$253
2023-12-31,$175
2023-09-30,$400
2023-06-30,$235
2023-03-31,$292
2022-12-31,$-403
2022-09-30,$334
2022-06-30,$187
2022-03-31,$288
2021-12-31,$427
2021-09-30,$463
2021-06-30,$58
2021-03-31,$335
2020-12-31,$242
2020-09-30,$454
2020-06-30,$309
2020-03-31,$74
2019-12-31,$-106
2019-09-30,$391
2019-06-30,$308
2019-03-31,$315
2018-12-31,$146
2018-09-30,$-512
2018-06-30,$134
2018-03-31,"$1,213"
2017-12-31,"$-2,499"
2017-09-30,$396
2017-06-30,$174
2017-03-31,$205
2016-12-31,"$-5,796"
2016-09-30,$380
2016-06-30,"$-1,089"
2016-03-31,$328
2015-12-31,$-226
2015-09-30,$395
2015-06-30,$187
2015-03-31,$222
2014-12-31,$-306
2014-09-30,$333
2014-06-30,$64
2014-03-31,$208
2013-12-31,$142
2013-09-30,$218
2013-06-30,$-164
2013-03-31,$196
2012-12-31,$-148
2012-09-30,$425
2012-06-30,$187
2012-03-31,$306
2011-12-31,$98
2011-09-30,$532
2011-06-30,$203
2011-03-31,$52
2010-12-31,$143
2010-09-30,$179
2010-06-30,$265
2010-03-31,$155
2009-12-31,$105
2009-09-30,$234
2009-06-30,$414
2009-03-31,$119
