Cheesecake Factory Quarterly Net Income (Millions of US $),Cheesecake Factory Quarterly Net Income (Millions of US $).1
2024-06-30,$52
2024-03-31,$33
2023-12-31,$13
2023-09-30,$18
2023-06-30,$43
2023-03-31,$28
2022-12-31,$-3
2022-09-30,$-2
2022-06-30,$26
2022-03-31,$23
2021-12-31,$1
2021-09-30,$33
2021-06-30,$17
2021-03-31,$-1
2020-12-31,$-37
2020-09-30,$-33
2020-06-30,$-70
2020-03-31,$-136
2019-12-31,$49
2019-09-30,$16
2019-06-30,$36
2019-03-31,$27
2018-12-31,$16
2018-09-30,$28
2018-06-30,$28
2018-03-31,$26
2017-12-31,$58
2017-09-30,$26
2017-06-30,$38
2017-03-31,$35
2016-12-31,$32
2016-09-30,$35
2016-06-30,$39
2016-03-31,$34
2015-12-31,$27
2015-09-30,$26
2015-06-30,$35
2015-03-31,$28
2014-12-31,$24
2014-09-30,$24
2014-06-30,$30
2014-03-31,$23
2013-12-31,$33
2013-09-30,$27
2013-06-30,$29
2013-03-31,$25
2012-12-31,$22
2012-09-30,$27
2012-06-30,$28
2012-03-31,$21
2011-12-31,$30
2011-09-30,$21
2011-06-30,$25
2011-03-31,$20
2010-12-31,$22
2010-09-30,$22
2010-06-30,$19
2010-03-31,$19
2009-12-31,$-0
2009-09-30,$16
2009-06-30,$17
2009-03-31,$10
