Hexcel Quarterly Net Income (Millions of US $),Hexcel Quarterly Net Income (Millions of US $).1
2024-06-30,$50
2024-03-31,$37
2023-12-31,$-18
2023-09-30,$39
2023-06-30,$43
2023-03-31,$43
2022-12-31,$37
2022-09-30,$27
2022-06-30,$45
2022-03-31,$18
2021-12-31,$19
2021-09-30,$9
2021-06-30,$2
2021-03-31,$-14
2020-12-31,$-19
2020-09-30,$10
2020-06-30,$-1
2020-03-31,$42
2019-12-31,$73
2019-09-30,$80
2019-06-30,$81
2019-03-31,$72
2018-12-31,$66
2018-09-30,$80
2018-06-30,$69
2018-03-31,$62
2017-12-31,$88
2017-09-30,$70
2017-06-30,$62
2017-03-31,$65
2016-12-31,$60
2016-09-30,$68
2016-06-30,$66
2016-03-31,$56
2015-12-31,$54
2015-09-30,$54
2015-06-30,$62
2015-03-31,$68
2014-12-31,$53
2014-09-30,$56
2014-06-30,$51
2014-03-31,$50
2013-12-31,$47
2013-09-30,$49
2013-06-30,$49
2013-03-31,$44
2012-12-31,$37
2012-09-30,$40
2012-06-30,$48
2012-03-31,$40
2011-12-31,$40
2011-09-30,$32
2011-06-30,$37
2011-03-31,$26
2010-12-31,$23
2010-09-30,$16
2010-06-30,$23
2010-03-31,$16
2009-12-31,$6
2009-09-30,$10
2009-06-30,$17
2009-03-31,$23
