OPENLANE Quarterly Net Income (Millions of US $),OPENLANE Quarterly Net Income (Millions of US $).1
2024-06-30,$-0
2024-03-31,$19
2023-12-31,$25
2023-09-30,$13
2023-06-30,$-205
2023-03-31,$13
2022-12-31,$37
2022-09-30,$-6
2022-06-30,$210
2022-03-31,$-0
2021-12-31,$5
2021-09-30,$-1
2021-06-30,$12
2021-03-31,$51
2020-12-31,$2
2020-09-30,$30
2020-06-30,$-34
2020-03-31,$3
2019-12-31,$20
2019-09-30,$35
2019-06-30,$56
2019-03-31,$78
2018-12-31,$67
2018-09-30,$78
2018-06-30,$93
2018-03-31,$90
2017-12-31,$173
2017-09-30,$63
2017-06-30,$57
2017-03-31,$69
2016-12-31,$46
2016-09-30,$54
2016-06-30,$62
2016-03-31,$61
2015-12-31,$48
2015-09-30,$52
2015-06-30,$60
2015-03-31,$55
2014-12-31,$50
2014-09-30,$48
2014-06-30,$51
2014-03-31,$21
2013-12-31,$-18
2013-09-30,$23
2013-06-30,$33
2013-03-31,$29
2012-12-31,$23
2012-09-30,$19
2012-06-30,$24
2012-03-31,$26
2011-12-31,$15
2011-09-30,$32
2011-06-30,$-14
2011-03-31,$40
2010-12-31,$7
2010-09-30,$26
2010-06-30,$29
2010-03-31,$8
2009-12-31,$5
2009-09-30,$9
2009-06-30,$13
2009-03-31,$-4
