Boot Barn Holdings Quarterly Net Income (Millions of US $),Boot Barn Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$39
2024-03-31,$29
2023-12-31,$56
2023-09-30,$28
2023-06-30,$34
2023-03-31,$46
2022-12-31,$53
2022-09-30,$32
2022-06-30,$39
2022-03-31,$45
2021-12-31,$69
2021-09-30,$38
2021-06-30,$41
2021-03-31,$25
2020-12-31,$30
2020-09-30,$6
2020-06-30,$-0
2020-03-31,$6
2019-12-31,$25
2019-09-30,$8
2019-06-30,$10
2019-03-31,$9
2018-12-31,$19
2018-09-30,$5
2018-06-30,$7
2018-03-31,$7
2017-12-31,$20
2017-09-30,$1
2017-06-30,$1
2017-03-31,$3
2016-12-31,$11
2016-09-30,$0
2016-06-30,$1
2016-03-31,$1
2015-12-31,$10
2015-09-30,$-3
2015-06-30,$2
2015-03-31,$1
2014-12-31,$9
2014-09-30,$1
2014-06-30,$1
2014-03-31,
2013-12-31,$6
2013-09-30,$-1
2013-03-31,
