LivaNova Quarterly Net Income (Millions of US $),LivaNova Quarterly Net Income (Millions of US $).1
2024-06-30,$16
2024-03-31,$-42
2023-12-31,$16
2023-09-30,$-7
2023-06-30,$1
2023-03-31,$7
2022-12-31,$2
2022-09-30,$-107
2022-06-30,$16
2022-03-31,$3
2021-12-31,$-5
2021-09-30,$-43
2021-06-30,$-56
2021-03-31,$-31
2020-12-31,$-284
2020-09-30,$-15
2020-06-30,$-88
2020-03-31,$38
2019-12-31,$-146
2019-09-30,$32
2019-06-30,$-29
2019-03-31,$-15
2018-12-31,$-211
2018-09-30,$-7
2018-06-30,$15
2018-03-31,$13
2017-12-31,$-112
2017-09-30,$28
2017-06-30,$47
2017-03-31,$11
2016-12-31,$-30
2016-09-30,$-2
2016-06-30,$9
2016-03-31,$-40
2015-12-31,
2015-10-31,$-25
2015-09-30,$-25
2015-07-31,$12
2015-06-30,$12
2015-04-30,
2015-03-31,$11
2015-01-31,$17
2014-10-31,$17
2014-07-31,$14
2014-04-30,
2014-01-31,$14
2013-10-31,$14
2013-07-31,$9
2013-04-30,
2013-01-31,$13
2012-10-31,$14
2012-07-31,$8
2012-04-30,
2012-01-31,$10
2011-10-31,$9
2011-07-31,$7
2011-04-30,
2011-01-31,$7
2010-10-31,$25
2010-07-31,$7
2010-04-30,
2010-01-31,$9
2009-10-31,$50
2009-07-31,$8
2009-04-30,
2009-01-31,$10
