Sonic Automotive Quarterly Net Income (Millions of US $),Sonic Automotive Quarterly Net Income (Millions of US $).1
2024-06-30,$41
2024-03-31,$42
2023-12-31,$39
2023-09-30,$68
2023-06-30,$23
2023-03-31,$48
2022-12-31,$-191
2022-09-30,$87
2022-06-30,$95
2022-03-31,$97
2021-12-31,$96
2021-09-30,$85
2021-06-30,$114
2021-03-31,$54
2020-12-31,$57
2020-09-30,$60
2020-06-30,$31
2020-03-31,$-199
2019-12-31,$46
2019-09-30,$29
2019-06-30,$27
2019-03-31,$42
2018-12-31,$22
2018-09-30,$15
2018-06-30,$17
2018-03-31,$-2
2017-12-31,$62
2017-09-30,$19
2017-06-30,$12
2017-03-31,$-1
2016-12-31,$38
2016-09-30,$18
2016-06-30,$23
2016-03-31,$15
2015-12-31,$31
2015-09-30,$26
2015-06-30,$15
2015-03-31,$14
2014-12-31,$26
2014-09-30,$25
2014-06-30,$27
2014-03-31,$19
2013-12-31,$28
2013-09-30,$23
2013-06-30,$9
2013-03-31,$21
2012-12-31,$29
2012-09-30,$10
2012-06-30,$28
2012-03-31,$20
2011-12-31,$21
2011-09-30,$19
2011-06-30,$21
2011-03-31,$15
2010-12-31,$64
2010-09-30,$13
2010-06-30,$8
2010-03-31,$4
2009-12-31,$14
2009-09-30,$16
2009-06-30,$0
2009-03-31,$2
