NorthWestern Quarterly Net Income (Millions of US $),NorthWestern Quarterly Net Income (Millions of US $).1
2024-06-30,$32
2024-03-31,$65
2023-12-31,$83
2023-09-30,$29
2023-06-30,$19
2023-03-31,$63
2022-12-31,$67
2022-09-30,$27
2022-06-30,$30
2022-03-31,$59
2021-12-31,$51
2021-09-30,$35
2021-06-30,$37
2021-03-31,$63
2020-12-31,$54
2020-09-30,$29
2020-06-30,$21
2020-03-31,$51
2019-12-31,$60
2019-09-30,$22
2019-06-30,$48
2019-03-31,$73
2018-12-31,$66
2018-09-30,$28
2018-06-30,$44
2018-03-31,$58
2017-12-31,$48
2017-09-30,$36
2017-06-30,$22
2017-03-31,$57
2016-12-31,$44
2016-09-30,$45
2016-06-30,$36
2016-03-31,$40
2015-12-31,$45
2015-09-30,$24
2015-06-30,$31
2015-03-31,$51
2014-12-31,$37
2014-09-30,$30
2014-06-30,$8
2014-03-31,$46
2013-12-31,$26
2013-09-30,$16
2013-06-30,$14
2013-03-31,$38
2012-12-31,$59
2012-09-30,$-4
2012-06-30,$11
2012-03-31,$32
2011-12-31,$34
2011-09-30,$15
2011-06-30,$11
2011-03-31,$33
2010-12-31,$23
2010-09-30,$14
2010-06-30,$12
2010-03-31,$29
2009-12-31,$26
2009-09-30,$19
2009-06-30,$6
2009-03-31,$23
