Rithm Capital Quarterly Net Income (Millions of US $),Rithm Capital Quarterly Net Income (Millions of US $).1
2024-06-30,$213
2024-03-31,$262
2023-12-31,$-88
2023-09-30,$194
2023-06-30,$357
2023-03-31,$69
2022-12-31,$82
2022-09-30,$124
2022-06-30,$-3
2022-03-31,$662
2021-12-31,$160
2021-09-30,$146
2021-06-30,$121
2021-03-31,$278
2020-12-31,$69
2020-09-30,$78
2020-06-30,$-9
2020-03-31,"$-1,602"
2019-12-31,$212
2019-09-30,$225
2019-06-30,$-32
2019-03-31,$146
2018-12-31,$0
2018-09-30,$185
2018-06-30,$175
2018-03-31,$604
2017-12-31,$288
2017-09-30,$226
2017-06-30,$322
2017-03-31,$121
2016-12-31,$225
2016-09-30,$99
2016-06-30,$69
2016-03-31,$112
2015-12-31,$103
2015-09-30,$55
2015-06-30,$75
2015-03-31,$36
2014-12-31,$54
2014-09-30,$126
2014-06-30,$124
2014-03-31,$49
2013-12-31,$81
2013-09-30,$63
2013-06-30,$109
2013-03-31,$13
2012-12-31,$20
2012-09-30,$12
2012-06-30,$6
2012-03-31,$3
2011-12-31,
