Customers Bancorp Quarterly Net Income (Millions of US $),Customers Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$54
2024-03-31,$46
2023-12-31,$58
2023-09-30,$83
2023-06-30,$44
2023-03-31,$50
2022-12-31,$26
2022-09-30,$61
2022-06-30,$57
2022-03-31,$75
2021-12-31,$99
2021-09-30,$110
2021-06-30,$58
2021-03-31,$33
2020-12-31,$53
2020-09-30,$47
2020-06-30,$19
2020-03-31,$-1
2019-12-31,$24
2019-09-30,$23
2019-06-30,$6
2019-03-31,$12
2018-12-31,$14
2018-09-30,$2
2018-06-30,$20
2018-03-31,$21
2017-12-31,$18
2017-09-30,$4
2017-06-30,$20
2017-03-31,$22
2016-12-31,$16
2016-09-30,$19
2016-06-30,$17
2016-03-31,$17
2015-12-31,$17
2015-09-30,$14
2015-06-30,$11
2015-03-31,$14
2014-12-31,$13
2014-09-30,$12
2014-06-30,$10
2014-03-31,$8
2013-12-31,$9
2013-09-30,$8
2013-06-30,$8
2013-03-31,$7
2012-12-31,$8
2012-09-30,$7
2012-06-30,$7
2012-03-31,$3
2011-12-31,$3
2011-09-30,$2
2011-06-30,$0
2011-03-31,$-2
2010-12-31,
2010-09-30,$28
2009-12-31,
