Micron Technology Quarterly Net Income (Millions of US $),Micron Technology Quarterly Net Income (Millions of US $).1
2024-05-31,$332
2024-02-29,$793
2023-11-30,"$-1,234"
2023-08-31,"$-1,430"
2023-05-31,"$-1,896"
2023-02-28,"$-2,312"
2022-11-30,$-195
2022-08-31,"$1,492"
2022-05-31,"$2,626"
2022-02-28,"$2,263"
2021-11-30,"$2,306"
2021-08-31,"$2,720"
2021-05-31,"$1,735"
2021-02-28,$603
2020-11-30,$803
2020-08-31,$988
2020-05-31,$803
2020-02-29,$405
2019-11-30,$491
2019-08-31,$561
2019-05-31,$840
2019-02-28,"$1,619"
2018-11-30,"$3,293"
2018-08-31,"$4,325"
2018-05-31,"$3,823"
2018-02-28,"$3,309"
2017-11-30,"$2,678"
2017-08-31,"$2,368"
2017-05-31,"$1,647"
2017-02-28,$894
2016-11-30,$180
2016-08-31,$-170
2016-05-31,$-215
2016-02-29,$-97
2015-11-30,$206
2015-08-31,$471
2015-05-31,$491
2015-02-28,$934
2014-11-30,"$1,003"
2014-08-31,"$1,150"
2014-05-31,$806
2014-02-28,$731
2013-11-30,$358
2013-08-31,"$1,708"
2013-05-31,$43
2013-02-28,$-286
2012-11-30,$-275
2012-08-31,$-243
2012-05-31,$-320
2012-02-29,$-282
2011-11-30,$-187
2011-08-31,$-135
2011-05-31,$75
2011-02-28,$72
2010-11-30,$155
2010-08-31,$342
2010-05-31,$939
2010-02-28,$365
2009-11-30,$204
2009-08-31,$-100
2009-05-31,$-301
2009-02-28,$-763
