Distribution Solutions Quarterly Net Income (Millions of US $),Distribution Solutions Quarterly Net Income (Millions of US $).1
2024-06-30,$2
2024-03-31,$-5
2023-12-31,$-16
2023-09-30,$-2
2023-06-30,$3
2023-03-31,$6
2022-12-31,$-2
2022-09-30,$17
2022-06-30,$-5
2022-03-31,$-3
2021-12-31,$-10
2021-09-30,$1
2021-06-30,$0
2021-03-31,$4
2020-12-31,$0
2020-09-30,$2
2020-06-30,$1
2020-03-31,$13
2019-12-31,$-3
2019-09-30,$5
2019-06-30,$1
2019-03-31,$4
2018-12-31,$3
2018-09-30,$-1
2018-06-30,$3
2018-03-31,$1
2017-12-31,$20
2017-09-30,$1
2017-06-30,$7
2017-03-31,$1
2016-12-31,$-5
2016-09-30,$2
2016-06-30,$0
2016-03-31,$1
2015-12-31,$-4
2015-09-30,$2
2015-06-30,$3
2015-03-31,$-1
2014-12-31,$-3
2014-09-30,$0
2014-06-30,$1
2014-03-31,$-3
2013-12-31,$-3
2013-09-30,$1
2013-06-30,$0
2013-03-31,$-3
2012-12-31,$2
2012-09-30,$-1
2012-06-30,$-61
2012-03-31,$-2
2011-12-31,$-6
2011-09-30,$-2
2011-06-30,$1
2011-03-31,$2
2010-12-31,$-1
2010-09-30,$3
2010-06-30,$2
2010-03-31,$2
2009-12-31,$-0
2009-09-30,$2
2009-06-30,$2
2009-03-31,$-6
