Dana Quarterly Net Income (Millions of US $),Dana Quarterly Net Income (Millions of US $).1
2024-06-30,$16
2024-03-31,$3
2023-12-31,$-39
2023-09-30,$19
2023-06-30,$30
2023-03-31,$28
2022-12-31,$-179
2022-09-30,$-88
2022-06-30,$8
2022-03-31,$17
2021-12-31,$25
2021-09-30,$48
2021-06-30,$53
2021-03-31,$71
2020-12-31,$40
2020-09-30,$45
2020-06-30,$-174
2020-03-31,$58
2019-12-31,$85
2019-09-30,$111
2019-06-30,$-68
2019-03-31,$98
2018-12-31,$100
2018-09-30,$95
2018-06-30,$124
2018-03-31,$108
2017-12-31,$-104
2017-09-30,$69
2017-06-30,$71
2017-03-31,$75
2016-12-31,$485
2016-09-30,$57
2016-06-30,$53
2016-03-31,$45
2015-12-31,$-82
2015-09-30,$119
2015-06-30,$59
2015-03-31,$63
2014-12-31,$109
2014-09-30,$88
2014-06-30,$84
2014-03-31,$31
2013-12-31,$38
2013-09-30,$-170
2013-06-30,$85
2013-03-31,$34
2012-12-31,$80
2012-09-30,$48
2012-06-30,$79
2012-03-31,$62
2011-12-31,$63
2011-09-30,$102
2011-06-30,$61
2011-03-31,$-38
2010-12-31,$-21
2010-09-30,$38
2010-06-30,$1
2010-03-31,$-39
2009-12-31,$-243
2009-09-30,$-46
2009-06-30,$-8
2009-03-31,$-165
