EPAM Systems Quarterly Net Income (Millions of US $),EPAM Systems Quarterly Net Income (Millions of US $).1
2024-06-30,$99
2024-03-31,$116
2023-12-31,$98
2023-09-30,$97
2023-06-30,$120
2023-03-31,$102
2022-12-31,$155
2022-09-30,$156
2022-06-30,$19
2022-03-31,$90
2021-12-31,$142
2021-09-30,$116
2021-06-30,$115
2021-03-31,$109
2020-12-31,$86
2020-09-30,$89
2020-06-30,$67
2020-03-31,$86
2019-12-31,$75
2019-09-30,$67
2019-06-30,$59
2019-03-31,$61
2018-12-31,$60
2018-09-30,$66
2018-06-30,$50
2018-03-31,$64
2017-12-31,$-31
2017-09-30,$43
2017-06-30,$37
2017-03-31,$24
2016-12-31,$25
2016-09-30,$26
2016-06-30,$24
2016-03-31,$24
2015-12-31,$28
2015-09-30,$23
2015-06-30,$19
2015-03-31,$15
2014-12-31,$18
2014-09-30,$19
2014-06-30,$15
2014-03-31,$17
2013-12-31,$19
2013-09-30,$16
2013-06-30,$14
2013-03-31,$13
2012-12-31,$15
2012-09-30,$14
2012-06-30,$13
2012-03-31,$9
2011-12-31,$9
2011-09-30,$6
2011-06-30,$-7
2011-03-31,$3
2010-12-31,$12
2010-09-30,
2010-06-30,
2010-03-31,$3
2009-12-31,
