CommScope Holding Quarterly Net Income (Millions of US $),CommScope Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$28
2024-03-31,$-375
2023-12-31,$-541
2023-09-30,$-844
2023-06-30,$-116
2023-03-31,$-12
2022-12-31,"$-1,124"
2022-09-30,$8
2022-06-30,$-76
2022-03-31,$-154
2021-12-31,$-101
2021-09-30,$-139
2021-06-30,$-168
2021-03-31,$-112
2020-12-31,$10
2020-09-30,$-130
2020-06-30,$-335
2020-03-31,$-174
2019-12-31,$-451
2019-09-30,$-170
2019-06-30,$-350
2019-03-31,$-2
2018-12-31,$-23
2018-09-30,$64
2018-06-30,$66
2018-03-31,$34
2017-12-31,$54
2017-09-30,$51
2017-06-30,$55
2017-03-31,$34
2016-12-31,$54
2016-09-30,$94
2016-06-30,$62
2016-03-31,$13
2015-12-31,$-75
2015-09-30,$-81
2015-06-30,$46
2015-03-31,$39
2014-12-31,$48
2014-09-30,$96
2014-06-30,$28
2014-03-31,$64
2013-12-31,$-9
2013-09-30,$11
2013-06-30,$1
2013-03-31,$16
2012-12-31,
2012-09-30,$5
2012-06-30,$7
2011-12-31,
2010-12-31,
