US Foods Holding Quarterly Net Income (Millions of US $),US Foods Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$198
2024-03-31,$82
2023-12-31,$154
2023-09-30,$95
2023-06-30,$182
2023-03-31,$75
2022-12-31,$120
2022-09-30,$100
2022-06-30,$61
2022-03-31,$-16
2021-12-31,$102
2021-09-30,$55
2021-06-30,$46
2021-03-31,$-39
2020-12-31,$-23
2020-09-30,$-2
2020-06-30,$-97
2020-03-31,$-132
2019-12-31,$92
2019-09-30,$106
2019-06-30,$116
2019-03-31,$71
2018-12-31,$100
2018-09-30,$114
2018-06-30,$126
2018-03-31,$67
2017-12-31,$256
2017-09-30,$96
2017-06-30,$65
2017-03-31,$27
2016-12-31,$77
2016-09-30,$133
2016-06-30,$-13
2016-03-31,$13
2015-12-31,$-10
2015-09-30,$5
2015-06-30,$165
2015-03-31,$7
2014-12-31,
2013-12-31,
