AECOM Quarterly Net Income (Millions of US $),AECOM Quarterly Net Income (Millions of US $).1
2024-06-30,$134
2024-03-31,$1
2023-12-31,$94
2023-09-30,$25
2023-06-30,$-135
2023-03-31,$77
2022-12-31,$88
2022-09-30,$106
2022-06-30,$102
2022-03-31,$42
2021-12-31,$62
2021-09-30,$96
2021-06-30,$12
2021-03-31,$39
2020-12-31,$26
2020-09-30,$-230
2020-06-30,$89
2020-03-31,$-86
2019-12-31,$41
2019-09-30,$-474
2019-06-30,$84
2019-03-31,$78
2018-12-31,$52
2018-09-30,$84
2018-06-30,$61
2018-03-31,$-120
2017-12-31,$111
2017-09-30,$88
2017-06-30,$101
2017-03-31,$102
2016-12-31,$47
2016-09-30,$7
2016-06-30,$67
2016-03-31,$42
2015-12-31,$-20
2015-09-30,$1
2015-06-30,$-17
2015-03-31,$0
2014-12-31,$-139
2014-09-30,$64
2014-06-30,$69
2014-03-31,$40
2013-12-31,$56
2013-09-30,$77
2013-06-30,$71
2013-03-31,$54
2012-12-31,$38
2012-09-30,$-225
2012-06-30,$69
2012-03-31,$49
2011-12-31,$48
2011-09-30,$87
2011-06-30,$74
2011-03-31,$58
2010-12-31,$57
2010-09-30,$68
2010-06-30,$65
2010-03-31,$58
2009-12-31,$46
2009-09-30,$54
2009-06-30,$51
2009-03-31,$43
