Lloyds Banking Group Quarterly Net Income (Millions of US $),Lloyds Banking Group Quarterly Net Income (Millions of US $).1
2024-06-30,
2024-03-31,"$1,356"
2023-03-31,"$1,834"
2022-03-31,"$1,581"
2021-03-31,"$1,758"
2020-03-31,$446
2019-03-31,"$1,385"
2017-03-31,"$1,382"
2016-03-31,$447
2015-12-31,$-722
2015-09-30,"$1,070"
2015-06-30,$-60
2015-03-31,"$1,732"
2014-12-31,$122
2014-09-30,$952
2014-06-30,$-818
2014-03-31,"$1,940"
2013-12-31,"$-1,818"
2013-09-30,"$-2,109"
2013-06-30,$46
2013-03-31,"$1,994"
2012-12-31,$-593
2012-09-30,$-596
2012-06-30,
2012-03-31,$3
2011-12-31,
2011-09-30,"$1,038"
2011-06-30,
2010-12-31,
2010-06-30,
2009-12-31,
2009-06-30,
