Hanesbrands Quarterly Net Income (Millions of US $),Hanesbrands Quarterly Net Income (Millions of US $).1
2024-06-30,$-298
2024-03-31,$-39
2023-12-31,$78
2023-09-30,$-39
2023-06-30,$-22
2023-03-31,$-34
2022-12-31,$-418
2022-09-30,$80
2022-06-30,$92
2022-03-31,$119
2021-12-31,$60
2021-09-30,$152
2021-06-30,$129
2021-03-31,$-263
2020-12-31,$-332
2020-09-30,$103
2020-06-30,$161
2020-03-31,$-8
2019-12-31,$185
2019-09-30,$185
2019-06-30,$150
2019-03-31,$81
2018-12-31,$148
2018-09-30,$171
2018-06-30,$141
2018-03-31,$79
2017-12-31,$-373
2017-09-30,$203
2017-06-30,$173
2017-03-31,$71
2016-12-31,$157
2016-09-30,$174
2016-06-30,$128
2016-03-31,$80
2015-12-31,$119
2015-09-30,$162
2015-06-30,$95
2015-03-31,$53
2014-12-31,$89
2014-09-30,$119
2014-06-30,$155
2014-03-31,$42
2013-12-31,$32
2013-09-30,$125
2013-06-30,$122
2013-03-31,$51
2012-12-31,$80
2012-09-30,$110
2012-06-30,$1
2012-03-31,$-27
2011-12-31,$41
2011-09-30,$91
2011-06-30,$87
2011-03-31,$48
2010-12-31,$28
2010-09-30,$61
2010-06-30,$85
2010-03-31,$37
2009-12-31,$-1
2009-09-30,$41
2009-06-30,$31
2009-03-31,$-19
