Cimpress Quarterly Net Income (Millions of US $),Cimpress Quarterly Net Income (Millions of US $).1
2024-06-30,$115
2024-03-31,$-4
2023-12-31,$58
2023-09-30,$5
2023-06-30,$29
2023-03-31,$-49
2022-12-31,$-140
2022-09-30,$-25
2022-06-30,$-31
2022-03-31,$-72
2021-12-31,$55
2021-09-30,$-7
2021-06-30,$-68
2021-03-31,$-39
2020-12-31,$32
2020-09-30,$-11
2020-06-30,$-42
2020-03-31,$-85
2019-12-31,$190
2019-09-30,$20
2019-06-30,$34
2019-03-31,$7
2018-12-31,$69
2018-09-30,$-15
2018-06-30,$-7
2018-03-31,$-2
2017-12-31,$30
2017-09-30,$23
2017-06-30,$-35
2017-03-31,$-43
2016-12-31,$35
2016-09-30,$-29
2016-06-30,$17
2016-03-31,$-33
2015-12-31,$59
2015-09-30,$11
2015-06-30,$-4
2015-03-31,$9
2014-12-31,$64
2014-09-30,$24
2014-06-30,$1
2014-03-31,$1
2013-12-31,$41
2013-09-30,$0
2013-06-30,$2
2013-03-31,$6
2012-12-31,$23
2012-09-30,$-2
2012-06-30,$4
2012-03-31,$0
2011-12-31,$32
2011-09-30,$8
2011-06-30,$14
2011-03-31,$23
2010-12-31,$34
2010-09-30,$11
2010-06-30,$12
2010-03-31,$16
2009-12-31,$27
2009-09-30,$13
2009-06-30,$15
2009-03-31,$14
