Vista Outdoor Quarterly Net Income (Millions of US $),Vista Outdoor Quarterly Net Income (Millions of US $).1
2024-06-30,$57
2024-03-31,$40
2023-12-31,$-148
2023-09-30,$44
2023-06-30,$58
2023-03-31,$-294
2022-12-31,$65
2022-09-30,$93
2022-06-30,$126
2022-03-31,$113
2021-12-31,$118
2021-09-30,$140
2021-06-30,$103
2021-03-31,$67
2020-12-31,$79
2020-09-30,$80
2020-06-30,$40
2020-03-31,$-141
2019-12-31,$15
2019-09-30,$-12
2019-06-30,$-17
2019-03-31,$-49
2018-12-31,$-515
2018-09-30,$-33
2018-06-30,$-52
2018-03-31,$-16
2017-12-31,$54
2017-09-30,$-115
2017-06-30,$17
2017-03-31,$1
2016-12-31,$-378
2016-09-30,$73
2016-06-30,$29
2016-03-31,$37
2015-12-31,$43
2015-09-30,$33
2015-06-30,$34
2015-03-31,$16
2014-12-31,$-11
2014-09-30,$34
2014-06-30,$41
2014-03-31,
2013-12-31,$33
2013-09-30,
2013-03-31,
2012-03-31,
