Fox Factory Holding Quarterly Net Income (Millions of US $),Fox Factory Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$5
2024-03-31,$-3
2023-12-31,$4
2023-09-30,$35
2023-06-30,$40
2023-03-31,$42
2022-12-31,$53
2022-09-30,$51
2022-06-30,$53
2022-03-31,$48
2021-12-31,$38
2021-09-30,$44
2021-06-30,$44
2021-03-31,$38
2020-12-31,$32
2020-09-30,$38
2020-06-30,$13
2020-03-31,$8
2019-12-31,$23
2019-09-30,$29
2019-06-30,$23
2019-03-31,$18
2018-12-31,$20
2018-09-30,$24
2018-06-30,$18
2018-03-31,$21
2017-12-31,$3
2017-09-30,$16
2017-06-30,$14
2017-03-31,$11
2016-12-31,$10
2016-09-30,$14
2016-06-30,$9
2016-03-31,$3
2015-12-31,$7
2015-09-30,$11
2015-06-30,$7
2015-03-31,$1
2014-12-31,$3
2014-09-30,$10
2014-06-30,$12
2014-03-31,$3
2013-12-31,$5
2013-09-30,$10
2013-06-30,$6
2013-03-31,$4
2012-12-31,$2
2012-09-30,$5
2012-06-30,$4
2012-03-31,$3
2011-12-31,
2010-12-31,
