Best Buy Quarterly Net Income (Millions of US $),Best Buy Quarterly Net Income (Millions of US $).1
2024-07-31,$291
2024-04-30,$246
2024-01-31,$460
2023-10-31,$263
2023-07-31,$274
2023-04-30,$244
2023-01-31,$495
2022-10-31,$277
2022-07-31,$306
2022-04-30,$341
2022-01-31,$626
2021-10-31,$499
2021-07-31,$734
2021-04-30,$595
2021-01-31,$816
2020-10-31,$391
2020-07-31,$432
2020-04-30,$159
2020-01-31,$745
2019-10-31,$293
2019-07-31,$238
2019-04-30,$265
2019-01-31,$735
2018-10-31,$277
2018-07-31,$244
2018-04-30,$208
2018-01-31,$364
2017-10-31,$239
2017-07-31,$209
2017-04-30,$188
2017-01-31,$607
2016-10-31,$194
2016-07-31,$198
2016-04-30,$229
2016-01-31,$479
2015-10-31,$125
2015-07-31,$164
2015-04-30,$129
2015-01-31,$519
2014-10-31,$107
2014-07-31,$146
2014-04-30,$461
2014-01-31,$293
2013-10-31,$54
2013-07-31,$266
2013-04-30,$-81
2013-01-31,$-409
2012-10-31,$-10
2012-07-31,$12
2012-04-30,$158
2012-02-29,
2012-01-31,"$-1,819"
2011-11-30,$154
2011-10-31,$156
2011-08-31,$177
2011-07-31,$128
2011-05-31,$136
2011-04-30,$212
2011-02-28,$651
2010-11-30,$217
2010-08-31,$254
2010-05-31,$155
2010-02-28,$779
2009-11-30,$227
2009-08-31,$158
2009-05-31,$153
2009-02-28,$570
