Cracker Barrel Old Country Store Quarterly Net Income (Millions of US $),Cracker Barrel Old Country Store Quarterly Net Income (Millions of US $).1
2024-07-31,$18
2024-04-30,$-9
2024-01-31,$27
2023-10-31,$5
2023-07-31,$37
2023-04-30,$14
2023-01-31,$30
2022-10-31,$17
2022-07-31,$33
2022-04-30,$28
2022-01-31,$38
2021-10-31,$33
2021-07-31,$36
2021-04-30,$33
2021-01-31,$14
2020-10-31,$171
2020-07-31,$25
2020-04-30,$-162
2020-01-31,$61
2019-10-31,$43
2019-07-31,$65
2019-04-30,$50
2019-01-31,$61
2018-10-31,$47
2018-07-31,$61
2018-04-30,$49
2018-01-31,$91
2017-10-31,$46
2017-07-31,$54
2017-04-30,$47
2017-01-31,$53
2016-10-31,$48
2016-07-31,$51
2016-04-30,$49
2016-01-31,$48
2015-10-31,$41
2015-07-31,$47
2015-04-30,$35
2015-01-31,$47
2014-10-31,$34
2014-07-31,$39
2014-04-30,$29
2014-01-31,$37
2013-10-31,$27
2013-07-31,$34
2013-04-30,$25
2013-01-31,$35
2012-10-31,$23
2012-07-31,$35
2012-04-30,$19
2012-01-31,$26
2011-10-31,$24
2011-07-31,$18
2011-04-30,$15
2011-01-31,$29
2010-10-31,$24
2010-07-31,$27
2010-04-30,$14
2010-01-31,$25
2009-10-31,$18
2009-07-31,$23
2009-04-30,$12
2009-01-31,$18
