Geron Quarterly Net Income (Millions of US $),Geron Quarterly Net Income (Millions of US $).1
2024-06-30,$-67
2024-03-31,$-55
2023-12-31,$-52
2023-09-30,$-45
2023-06-30,$-49
2023-03-31,$-38
2022-12-31,$-43
2022-09-30,$-41
2022-06-30,$-28
2022-03-31,$-30
2021-12-31,$-32
2021-09-30,$-27
2021-06-30,$-30
2021-03-31,$-28
2020-12-31,$-24
2020-09-30,$-20
2020-06-30,$-16
2020-03-31,$-16
2019-12-31,$-29
2019-09-30,$-15
2019-06-30,$-14
2019-03-31,$-10
2018-12-31,$-7
2018-09-30,$-6
2018-06-30,$-7
2018-03-31,$-7
2017-12-31,$-7
2017-09-30,$-7
2017-06-30,$-6
2017-03-31,$-7
2016-12-31,$-8
2016-09-30,$-4
2016-06-30,$-9
2016-03-31,$-9
2015-12-31,$-8
2015-09-30,$27
2015-06-30,$-9
2015-03-31,$-9
2014-12-31,$-9
2014-09-30,$-10
2014-06-30,$-9
2014-03-31,$-8
2013-12-31,$-9
2013-09-30,$-8
2013-06-30,$-9
2013-03-31,$-12
2012-12-31,$-16
2012-09-30,$-16
2012-06-30,$-18
2012-03-31,$-19
2011-12-31,$-32
2011-09-30,$-20
2011-06-30,$-21
2011-03-31,$-24
2010-12-31,$-59
2010-09-30,$-18
2010-06-30,$-17
2010-03-31,$-17
2009-12-31,$-18
2009-09-30,$-15
2009-06-30,$-20
2009-03-31,$-17
