Permian Resources Quarterly Net Income (Millions of US $),Permian Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$235
2024-03-31,$147
2023-12-31,$255
2023-09-30,$45
2023-06-30,$73
2023-03-31,$102
2022-12-31,$83
2022-09-30,$224
2022-06-30,$192
2022-03-31,$16
2021-12-31,$161
2021-09-30,$37
2021-06-30,$-25
2021-03-31,$-35
2020-12-31,$-89
2020-09-30,$-52
2020-06-30,$5
2020-03-31,$-548
2019-12-31,$10
2019-09-30,$-4
2019-06-30,$18
2019-03-31,$-8
2018-12-31,$31
2018-09-30,$39
2018-06-30,$64
2018-03-31,$66
2017-12-31,$31
2017-09-30,$14
2017-06-30,$21
2017-03-31,$10
2016-12-31,$-191
2016-09-30,$-5
2016-06-30,$-16
2016-03-31,$-14
2015-12-31,
2015-09-30,$-5
2014-12-31,
