Elme Communities Quarterly Net Income (Millions of US $),Elme Communities Quarterly Net Income (Millions of US $).1
2024-06-30,$-3
2024-03-31,$-4
2023-12-31,$-3
2023-09-30,$-44
2023-06-30,$-3
2023-03-31,$-4
2022-12-31,$-3
2022-09-30,$-11
2022-06-30,$-9
2022-03-31,$-8
2021-12-31,$-7
2021-09-30,$31
2021-06-30,$-7
2021-03-31,$-1
2020-12-31,$-11
2020-09-30,$-1
2020-06-30,$-5
2020-03-31,$2
2019-12-31,$54
2019-09-30,$333
2019-06-30,$1
2019-03-31,$-4
2018-12-31,$6
2018-09-30,$6
2018-06-30,$11
2018-03-31,$3
2017-12-31,$2
2017-09-30,$3
2017-06-30,$8
2017-03-31,$7
2016-12-31,$5
2016-09-30,$80
2016-06-30,$32
2016-03-31,$2
2015-12-31,$62
2015-09-30,$1
2015-06-30,$-3
2015-03-31,$30
2014-12-31,$2
2014-09-30,$4
2014-06-30,$1
2014-03-31,$105
2013-12-31,$19
2013-09-30,$6
2013-06-30,$5
2013-03-31,$7
2012-12-31,$3
2012-09-30,$10
2012-06-30,$6
2012-03-31,$5
2011-12-31,$31
2011-09-30,$63
2011-06-30,$7
2011-03-31,$5
2010-12-31,$11
2010-09-30,$7
2010-06-30,$15
2010-03-31,$5
2009-12-31,$7
2009-09-30,$10
2009-06-30,$13
2009-03-31,$11
