Foot Locker Quarterly Net Income (Millions of US $),Foot Locker Quarterly Net Income (Millions of US $).1
2024-07-31,$-12
2024-04-30,$8
2024-01-31,$-389
2023-10-31,$28
2023-07-31,$-5
2023-04-30,$36
2023-01-31,$19
2022-10-31,$96
2022-07-31,$94
2022-04-30,$133
2022-01-31,$103
2021-10-31,$158
2021-07-31,$430
2021-04-30,$202
2021-01-31,$123
2020-10-31,$265
2020-07-31,$45
2020-04-30,$-110
2020-01-31,$134
2019-10-31,$125
2019-07-31,$60
2019-04-30,$172
2019-01-31,$158
2018-10-31,$130
2018-07-31,$88
2018-04-30,$165
2018-01-31,$-49
2017-10-31,$102
2017-07-31,$51
2017-04-30,$180
2017-01-31,$189
2016-10-31,$157
2016-07-31,$127
2016-04-30,$191
2016-01-31,$158
2015-10-31,$80
2015-07-31,$119
2015-04-30,$184
2015-01-31,$146
2014-10-31,$120
2014-07-31,$92
2014-04-30,$162
2014-01-31,$121
2013-10-31,$104
2013-07-31,$66
2013-04-30,$138
2013-01-31,$104
2012-10-31,$106
2012-07-31,$59
2012-04-30,$128
2012-01-31,$81
2011-10-31,$66
2011-07-31,$37
2011-04-30,$94
2011-01-31,$57
2010-10-31,$52
2010-07-31,$6
2010-04-30,$54
2010-01-31,$23
2009-10-31,$-6
2009-07-31,$0
2009-04-30,$31
2009-01-31,$-125
