Century Communities Quarterly Net Income (Millions of US $),Century Communities Quarterly Net Income (Millions of US $).1
2024-06-30,$84
2024-03-31,$64
2023-12-31,$91
2023-09-30,$83
2023-06-30,$51
2023-03-31,$33
2022-12-31,$79
2022-09-30,$144
2022-06-30,$159
2022-03-31,$142
2021-12-31,$165
2021-09-30,$114
2021-06-30,$118
2021-03-31,$102
2020-12-31,$92
2020-09-30,$50
2020-06-30,$38
2020-03-31,$26
2019-12-31,$53
2019-09-30,$27
2019-06-30,$15
2019-03-31,$17
2018-12-31,$26
2018-09-30,$17
2018-06-30,$33
2018-03-31,$20
2017-12-31,$17
2017-09-30,$9
2017-06-30,$15
2017-03-31,$9
2016-12-31,$15
2016-09-30,$13
2016-06-30,$13
2016-03-31,$8
2015-12-31,$13
2015-09-30,$10
2015-06-30,$9
2015-03-31,$6
2014-12-31,$7
2014-09-30,$4
2014-06-30,$5
2014-03-31,$3
2013-12-31,$3
2013-09-30,$2
2013-06-30,$4
2013-03-31,$3
2012-12-31,
