Consol Energy Quarterly Net Income (Millions of US $),Consol Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$58
2024-03-31,$102
2023-12-31,$157
2023-09-30,$101
2023-06-30,$168
2023-03-31,$230
2022-12-31,$193
2022-09-30,$152
2022-06-30,$126
2022-03-31,$-4
2021-12-31,$117
2021-09-30,$-114
2021-06-30,$4
2021-03-31,$26
2020-12-31,$13
2020-09-30,$-7
2020-06-30,$-18
2020-03-31,$2
2019-12-31,$14
2019-09-30,$4
2019-06-30,$43
2019-03-31,$14
2018-12-31,$40
2018-09-30,$6
2018-06-30,$45
2018-03-31,$62
2017-12-31,$-29
2017-09-30,$8
2017-06-30,$48
2017-03-31,$41
2016-12-31,
2016-09-30,$3
2015-12-31,
2014-12-31,
