Energy Fuels Inc Quarterly Net Income (Millions of US $),Energy Fuels Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$-6
2024-03-31,$4
2023-12-31,$-20
2023-09-30,$10
2023-06-30,$-5
2023-03-31,$114
2022-12-31,$-18
2022-09-30,$-9
2022-06-30,$-18
2022-03-31,$-15
2021-12-31,$31
2021-09-30,$-8
2021-06-30,$-11
2021-03-31,$-11
2020-12-31,$-5
2020-09-30,$-9
2020-06-30,$-8
2020-03-31,$-6
2019-12-31,$-10
2019-09-30,$-7
2019-06-30,$-9
2019-03-31,$-12
2018-12-31,$-8
2018-09-30,$-14
2018-06-30,$7
2018-03-31,$-11
2017-12-31,$-8
2017-09-30,$-5
2017-06-30,$-4
2017-03-31,$-11
2016-12-31,$-12
2016-09-30,$-8
2016-06-30,$-10
2016-03-31,$-9
2015-12-31,$-72
2015-09-30,$-5
2015-06-30,$-4
2015-03-31,$-1
2014-12-31,$-10
2014-09-30,$3
2014-06-30,$-30
2014-03-31,$-6
2013-12-31,$-3
2013-09-30,$-70
2013-06-30,$-6
2013-03-31,$-8
2012-12-31,$-2
