Beacon Roofing Supply Quarterly Net Income (Millions of US $),Beacon Roofing Supply Quarterly Net Income (Millions of US $).1
2024-06-30,$127
2024-03-31,$6
2023-12-31,$91
2023-09-30,$-263
2023-06-30,$128
2023-03-31,$16
2022-12-31,$59
2022-09-30,$130
2022-06-30,$148
2022-03-31,$44
2021-12-31,$62
2021-09-30,$99
2021-06-30,$71
2021-03-31,$-12
2020-12-31,$-227
2020-09-30,
2020-06-30,$-13
2020-03-31,$-129
2019-12-31,$-29
2019-09-30,
2019-06-30,$25
2019-03-31,$-74
2018-12-31,$-7
2018-09-30,
2018-06-30,$43
2018-03-31,$-73
2017-12-31,$68
2017-09-30,
2017-06-30,$45
2017-03-31,$-9
2016-12-31,$20
2016-09-30,
2016-06-30,$41
2016-03-31,$-6
2015-12-31,$7
2015-09-30,
2015-06-30,$28
2015-03-31,$-10
2014-12-31,$13
2014-09-30,
2014-06-30,$27
2014-03-31,$-12
2013-12-31,$15
2013-09-30,
2013-06-30,$27
2013-03-31,$-0
2012-12-31,$18
2012-09-30,
2012-06-30,$25
2012-03-31,$3
2011-12-31,$19
2011-09-30,
2011-06-30,$24
2011-03-31,$-6
2010-12-31,$10
2010-09-30,
2010-06-30,$16
2010-03-31,$-6
2009-12-31,$8
2009-09-30,
2009-06-30,$17
2009-03-31,$-2
