First Financial Bancorp Quarterly Net Income (Millions of US $),First Financial Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$61
2024-03-31,$51
2023-12-31,$57
2023-09-30,$63
2023-06-30,$66
2023-03-31,$70
2022-12-31,$69
2022-09-30,$56
2022-06-30,$52
2022-03-31,$41
2021-12-31,$47
2021-09-30,$60
2021-06-30,$51
2021-03-31,$47
2020-12-31,$48
2020-09-30,$41
2020-06-30,$37
2020-03-31,$29
2019-12-31,$49
2019-09-30,$51
2019-06-30,$53
2019-03-31,$46
2018-12-31,$55
2018-09-30,$51
2018-06-30,$36
2018-03-31,$31
2017-12-31,$25
2017-09-30,$25
2017-06-30,$23
2017-03-31,$24
2016-12-31,$23
2016-09-30,$23
2016-06-30,$23
2016-03-31,$20
2015-12-31,$20
2015-09-30,$19
2015-06-30,$19
2015-03-31,$18
2014-12-31,$19
2014-09-30,$15
2014-06-30,$16
2014-03-31,$15
2013-12-31,$4
2013-09-30,$15
2013-06-30,$16
2013-03-31,$14
2012-12-31,$16
2012-09-30,$16
2012-06-30,$18
2012-03-31,$17
2011-12-31,$18
2011-09-30,$16
2011-06-30,$16
2011-03-31,$17
2010-12-31,$14
2010-09-30,$16
2010-06-30,$18
2010-03-31,$10
2009-12-31,$13
2009-09-30,$199
2009-06-30,$0
2009-03-31,$5
