AnaptysBio Quarterly Net Income (Millions of US $),AnaptysBio Quarterly Net Income (Millions of US $).1
2024-06-30,$-47
2024-03-31,$-44
2023-12-31,$-42
2023-09-30,$-37
2023-06-30,$-40
2023-03-31,$-44
2022-12-31,$-26
2022-09-30,$-34
2022-06-30,$-33
2022-03-31,$-36
2021-12-31,$-33
2021-09-30,$-7
2021-06-30,$-0
2021-03-31,$-18
2020-12-31,$34
2020-09-30,$-24
2020-06-30,$-22
2020-03-31,$-8
2019-12-31,$-20
2019-09-30,$-31
2019-06-30,$-24
2019-03-31,$-22
2018-12-31,$-17
2018-09-30,$-16
2018-06-30,$-14
2018-03-31,$-15
2017-12-31,$-7
2017-09-30,$-9
2017-06-30,$-3
2017-03-31,$-11
2016-12-31,$-5
2016-09-30,$-1
2016-06-30,$0
2016-03-31,$-1
2015-12-31,
2014-12-31,
2013-12-31,
