Globalstar Quarterly Net Income (Millions of US $),Globalstar Quarterly Net Income (Millions of US $).1
2024-06-30,$-12
2024-03-31,$-16
2023-12-31,$-18
2023-09-30,$-9
2023-06-30,$-3
2023-03-31,$-6
2022-12-31,$-7
2022-09-30,$-204
2022-06-30,$-27
2022-03-31,$-20
2021-12-31,$-24
2021-09-30,$-31
2021-06-30,$-21
2021-03-31,$-36
2020-12-31,$-22
2020-09-30,$-25
2020-06-30,$-25
2020-03-31,$-38
2019-12-31,$-38
2019-09-30,$21
2019-06-30,$6
2019-03-31,$26
2018-12-31,$-96
2018-09-30,$9
2018-06-30,$-7
2018-03-31,$88
2017-12-31,$-23
2017-09-30,$52
2017-06-30,$-99
2017-03-31,$-20
2016-12-31,$-117
2016-09-30,$-3
2016-06-30,$14
2016-03-31,$-27
2015-12-31,$-27
2015-09-30,$24
2015-06-30,$205
2015-03-31,$-130
2014-12-31,$92
2014-09-30,$129
2014-06-30,$-434
2014-03-31,$-251
2013-12-31,$-235
2013-09-30,$-205
2013-06-30,$-126
2013-03-31,$-25
2012-12-31,$-19
2012-09-30,$-41
2012-06-30,$-28
2012-03-31,$-25
2011-12-31,$-34
2011-09-30,$-1
2011-06-30,$-14
2011-03-31,$-6
2010-12-31,$-18
2010-09-30,$-24
2010-06-30,$-19
2010-03-31,$-36
2009-12-31,$-34
2009-09-30,$-6
2009-06-30,$-14
2009-03-31,$-22
