Cohen & Steers Inc Quarterly Net Income (Millions of US $),Cohen & Steers Inc Quarterly Net Income (Millions of US $).1
2024-09-30,$40
2024-06-30,$32
2024-03-31,$34
2023-12-31,$30
2023-09-30,$32
2023-06-30,$32
2023-03-31,$35
2022-12-31,$32
2022-09-30,$45
2022-06-30,$52
2022-03-31,$42
2021-12-31,$64
2021-09-30,$51
2021-06-30,$47
2021-03-31,$49
2020-12-31,$-4
2020-09-30,$32
2020-06-30,$29
2020-03-31,$21
2019-12-31,$37
2019-09-30,$34
2019-06-30,$31
2019-03-31,$33
2018-12-31,$26
2018-09-30,$31
2018-06-30,$30
2018-03-31,$28
2017-12-31,$20
2017-09-30,$25
2017-06-30,$23
2017-03-31,$23
2016-12-31,$26
2016-09-30,$24
2016-06-30,$25
2016-03-31,$18
2015-12-31,$12
2015-09-30,$12
2015-06-30,$19
2015-03-31,$21
2014-12-31,$16
2014-09-30,$18
2014-06-30,$22
2014-03-31,$19
2013-12-31,$19
2013-09-30,$18
2013-06-30,$15
2013-03-31,$15
2012-12-31,$22
2012-09-30,$10
2012-06-30,$16
2012-03-31,$18
2011-12-31,$16
2011-09-30,$10
2011-06-30,$16
2011-03-31,$13
2010-12-31,$13
2010-09-30,$13
2010-06-30,$12
2010-03-31,$9
2009-12-31,$12
2009-09-30,$8
2009-06-30,$-6
2009-03-31,$-14
