Chemours Quarterly Net Income (Millions of US $),Chemours Quarterly Net Income (Millions of US $).1
2024-06-30,$70
2024-03-31,$52
2023-12-31,$-27
2023-09-30,$20
2023-06-30,$-376
2023-03-31,$145
2022-12-31,$-97
2022-09-30,$240
2022-06-30,$201
2022-03-31,$234
2021-12-31,$232
2021-09-30,$214
2021-06-30,$66
2021-03-31,$96
2020-12-31,$19
2020-09-30,$76
2020-06-30,$24
2020-03-31,$100
2019-12-31,$-318
2019-09-30,$76
2019-06-30,$96
2019-03-31,$94
2018-12-31,$142
2018-09-30,$275
2018-06-30,$281
2018-03-31,$297
2017-12-31,$228
2017-09-30,$207
2017-06-30,$161
2017-03-31,$150
2016-12-31,$-230
2016-09-30,$204
2016-06-30,$-18
2016-03-31,$51
2015-12-31,$-86
2015-09-30,$-29
2015-06-30,$-18
2015-03-31,$43
2014-12-31,
2014-09-30,$107
2014-06-30,$116
2013-12-31,
2012-12-31,
