Teck Resources Quarterly Net Income (Millions of US $),Teck Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$265
2024-03-31,$254
2023-12-31,$357
2023-09-30,$206
2023-06-30,$379
2023-03-31,$843
2022-12-31,$149
2022-09-30,$-149
2022-06-30,"$1,312"
2022-03-31,"$1,240"
2021-12-31,"$1,188"
2021-09-30,$648
2021-06-30,$212
2021-03-31,$241
2020-12-31,$-351
2020-09-30,$46
2020-06-30,$-108
2020-03-31,$-233
2019-12-31,"$-1,382"
2019-09-30,$280
2019-06-30,$173
2019-03-31,$474
2018-12-31,$325
2018-09-30,$980
2018-06-30,$491
2018-03-31,$601
2017-12-31,$595
2017-09-30,$479
2017-06-30,$429
2017-03-31,$432
2016-12-31,$526
2016-09-30,$180
2016-06-30,$12
2016-03-31,$69
2015-12-31,$-344
2015-09-30,"$-1,641"
2015-06-30,$51
2015-03-31,$56
2014-12-31,$103
2014-09-30,$75
2014-06-30,$79
2014-03-31,$63
2013-12-31,$211
2013-09-30,$257
2013-06-30,$139
2013-03-31,$321
2012-12-31,$145
2012-09-30,$182
2012-06-30,$263
2012-03-31,$219
2011-12-31,$641
2011-09-30,$803
2011-06-30,$802
2011-03-31,$480
2010-12-31,$365
2010-09-30,$331
2010-06-30,$251
2010-03-31,$892
2009-12-31,$383
2009-09-30,$577
2009-06-30,$488
2009-03-31,$194
