WaFd Quarterly Net Income (Millions of US $),WaFd Quarterly Net Income (Millions of US $).1
2024-06-30,$61
2024-03-31,$12
2023-12-31,$55
2023-09-30,$47
2023-06-30,$58
2023-03-31,$62
2022-12-31,$76
2022-09-30,$70
2022-06-30,$60
2022-03-31,$46
2021-12-31,$47
2021-09-30,$49
2021-06-30,$44
2021-03-31,$42
2020-12-31,$39
2020-09-30,$34
2020-06-30,$35
2020-03-31,$36
2019-12-31,$68
2019-09-30,$52
2019-06-30,$54
2019-03-31,$51
2018-12-31,$53
2018-09-30,$52
2018-06-30,$51
2018-03-31,$49
2017-12-31,$52
2017-09-30,$46
2017-06-30,$44
2017-03-31,$42
2016-12-31,$41
2016-09-30,$44
2016-06-30,$43
2016-03-31,$42
2015-12-31,$35
2015-09-30,$42
2015-06-30,$39
2015-03-31,$40
2014-12-31,$38
2014-09-30,$41
2014-06-30,$38
2014-03-31,$39
2013-12-31,$40
2013-09-30,$43
2013-06-30,$37
2013-03-31,$36
2012-12-31,$35
2012-09-30,$36
2012-06-30,$35
2012-03-31,$34
2011-12-31,$33
2011-09-30,$31
2011-06-30,$30
2011-03-31,$26
2010-12-31,$25
2010-09-30,$16
2010-06-30,$13
2010-03-31,$82
2009-12-31,$8
2009-09-30,$10
2009-06-30,$3
2009-03-31,$8
