National Bank Holdings Quarterly Net Income (Millions of US $),National Bank Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$26
2024-03-31,$31
2023-12-31,$33
2023-09-30,$36
2023-06-30,$33
2023-03-31,$40
2022-12-31,$17
2022-09-30,$16
2022-06-30,$20
2022-03-31,$18
2021-12-31,$23
2021-09-30,$20
2021-06-30,$24
2021-03-31,$27
2020-12-31,$27
2020-09-30,$28
2020-06-30,$18
2020-03-31,$16
2019-12-31,$20
2019-09-30,$22
2019-06-30,$20
2019-03-31,$19
2018-12-31,$17
2018-09-30,$18
2018-06-30,$18
2018-03-31,$8
2017-12-31,$-10
2017-09-30,$7
2017-06-30,$9
2017-03-31,$8
2016-12-31,$10
2016-09-30,$8
2016-06-30,$5
2016-03-31,$0
2015-12-31,$3
2015-09-30,$2
2015-06-30,$-1
2015-03-31,$1
2014-12-31,$2
2014-09-30,$3
2014-06-30,$2
2014-03-31,$1
2013-12-31,$1
2013-09-30,$1
2013-06-30,$3
2013-03-31,$2
2012-12-31,$3
2012-09-30,$-8
2012-06-30,$3
2012-03-31,$2
2011-12-31,
2011-09-30,$34
2010-12-31,
