National Fuel Gas Quarterly Net Income (Millions of US $),National Fuel Gas Quarterly Net Income (Millions of US $).1
2024-06-30,$-54
2024-03-31,$166
2023-12-31,$133
2023-09-30,$74
2023-06-30,$93
2023-03-31,$141
2022-12-31,$170
2022-09-30,$158
2022-06-30,$108
2022-03-31,$167
2021-12-31,$132
2021-09-30,$87
2021-06-30,$86
2021-03-31,$112
2020-12-31,$78
2020-09-30,$-146
2020-06-30,$41
2020-03-31,$-106
2019-12-31,$87
2019-09-30,$47
2019-06-30,$64
2019-03-31,$91
2018-12-31,$103
2018-09-30,$38
2018-06-30,$63
2018-03-31,$92
2017-12-31,$199
2017-09-30,$46
2017-06-30,$60
2017-03-31,$89
2016-12-31,$89
2016-09-30,$38
2016-06-30,$8
2016-03-31,$-148
2015-12-31,$-189
2015-09-30,$-188
2015-06-30,$-293
2015-03-31,$17
2014-12-31,$85
2014-09-30,$57
2014-06-30,$65
2014-03-31,$95
2013-12-31,$82
2013-09-30,$48
2013-06-30,$58
2013-03-31,$86
2012-12-31,$68
2012-09-30,$49
2012-06-30,$43
2012-03-31,$67
2011-12-31,$61
2011-09-30,$37
2011-06-30,$47
2011-03-31,$116
2010-12-31,$59
2010-09-30,$38
2010-06-30,$43
2010-03-31,$80
2009-12-31,$64
2009-09-30,$27
2009-06-30,$43
2009-03-31,$73
