Cloudflare Quarterly Net Income (Millions of US $),Cloudflare Quarterly Net Income (Millions of US $).1
2024-06-30,$-15
2024-03-31,$-36
2023-12-31,$-28
2023-09-30,$-24
2023-06-30,$-94
2023-03-31,$-38
2022-12-31,$-46
2022-09-30,$-43
2022-06-30,$-64
2022-03-31,$-41
2021-12-31,$-78
2021-09-30,$-107
2021-06-30,$-36
2021-03-31,$-40
2020-12-31,$-34
2020-09-30,$-26
2020-06-30,$-26
2020-03-31,$-33
2019-12-31,$-28
2019-09-30,$-41
2019-06-30,$-20
2019-03-31,$-17
2018-12-31,
2018-09-30,$-38
2017-12-31,
2016-12-31,
